"fleet_segment";"Month";"PRODUCTION";"Unit"
"DTS_VL1218";"126";"17500";"kg"
"DTS_VL1218";"127";"18070";"kg"
"DTS_VL1218";"128";"15514";"kg"
"DTS_VL1218";"129";"8685";"kg"
"DTS_VL1218";"130";"14994";"kg"
"DTS_VL1218";"131";"20585";"kg"
"DTS_VL1218";"132";"19974";"kg"
"DTS_VL1218";"133";"13836";"kg"
"DTS_VL1218";"134";"12927";"kg"
"DTS_VL1218";"135";"11560";"kg"
"DTS_VL1218";"136";"14406";"kg"
"DTS_VL1218";"137";"16388";"kg"
"DTS_VL1218";"138";"17500";"kg"
"DTS_VL1218";"139";"18070";"kg"
"DTS_VL1218";"140";"15514";"kg"
"DTS_VL1218";"141";"8685";"kg"
"DTS_VL1218";"142";"14994";"kg"
"DTS_VL1218";"143";"20585";"kg"
"DTS_VL1218";"144";"19974";"kg"
"DTS_VL1218";"145";"13836";"kg"
"DTS_VL1218";"146";"12927";"kg"
"DTS_VL1218";"147";"11560";"kg"
"DTS_VL1218";"148";"14406";"kg"
"DTS_VL1218";"149";"16388";"kg"
"DTS_VL1218";"150";"17500";"kg"
"DTS_VL1218";"151";"18070";"kg"
"DTS_VL1218";"152";"15514";"kg"
"DTS_VL1218";"153";"8685";"kg"
"DTS_VL1218";"154";"14994";"kg"
"DTS_VL1218";"155";"20585";"kg"
"DTS_VL1218";"156";"19974";"kg"
"DTS_VL1824";"0";"2397";"kg"
"DTS_VL1824";"1";"2397";"kg"
"DTS_VL1824";"2";"2307";"kg"
"DTS_VL1824";"3";"2842";"kg"
"DTS_VL1824";"4";"4072";"kg"
"DTS_VL1824";"5";"4131";"kg"
"DTS_VL1824";"6";"4134";"kg"
"DTS_VL1824";"7";"7143";"kg"
"DTS_VL1824";"8";"21439";"kg"
"DTS_VL1824";"9";"14054";"kg"
"DTS_VL1824";"10";"17346";"kg"
"DTS_VL1824";"11";"15974";"kg"
"DTS_VL1824";"12";"13630";"kg"
"DTS_VL1824";"13";"11185";"kg"
"DTS_VL1824";"14";"7878";"kg"
"DTS_VL1824";"15";"8392";"kg"
"DTS_VL1824";"16";"7897";"kg"
"DTS_VL1824";"17";"6946";"kg"
"DTS_VL1824";"18";"6873";"kg"
"DTS_VL1824";"19";"10296";"kg"
"DTS_VL1824";"20";"12670";"kg"
"DTS_VL1824";"21";"8135";"kg"
"DTS_VL1824";"22";"11548";"kg"
"DTS_VL1824";"23";"9526";"kg"
"DTS_VL1824";"24";"8241";"kg"
"DTS_VL1824";"25";"5913";"kg"
"DTS_VL1824";"26";"7960";"kg"
"DTS_VL1824";"27";"4424";"kg"
"DTS_VL1824";"28";"4534";"kg"
"DTS_VL1824";"29";"5479";"kg"
"DTS_VL1824";"30";"3501";"kg"
"DTS_VL1824";"31";"4098";"kg"
"DTS_VL1824";"32";"7043";"kg"
"DTS_VL1824";"33";"323";"kg"
"DTS_VL1824";"34";"15173";"kg"
"DTS_VL1824";"35";"12491";"kg"
"DTS_VL1824";"36";"10974";"kg"
"DTS_VL1824";"37";"9299";"kg"
"DTS_VL1824";"38";"6475";"kg"
"DTS_VL1824";"39";"6472";"kg"
"DTS_VL1824";"40";"7622";"kg"
"DTS_VL1824";"41";"1743";"kg"
"DTS_VL1824";"42";"2258";"kg"
"DTS_VL1824";"43";"6149";"kg"
"DTS_VL1824";"44";"7167";"kg"
"DTS_VL1824";"45";"3198";"kg"
"DTS_VL1824";"46";"11830";"kg"
"DTS_VL1824";"47";"15189";"kg"
"DTS_VL1824";"48";"7833";"kg"
"DTS_VL1824";"49";"4489";"kg"
"DTS_VL1824";"50";"2284";"kg"
"DTS_VL1824";"51";"3423";"kg"
"DTS_VL1824";"52";"4044";"kg"
"DTS_VL1824";"53";"2245";"kg"
"DTS_VL1824";"54";"2159";"kg"
"DTS_VL1824";"55";"4942";"kg"
"DTS_VL1824";"56";"6425";"kg"
"DTS_VL1824";"57";"125";"kg"
"DTS_VL1824";"58";"8037";"kg"
"DTS_VL1824";"59";"6757";"kg"
"DTS_VL1824";"60";"6285";"kg"
"DTS_VL1824";"61";"6395";"kg"
"DTS_VL1824";"62";"4537";"kg"
"DTS_VL1824";"63";"5047";"kg"
"DTS_VL1824";"64";"4497";"kg"
"DTS_VL1824";"65";"2312";"kg"
"DTS_VL1824";"66";"4226";"kg"
"DTS_VL1824";"67";"5671";"kg"
"DTS_VL1824";"68";"7521";"kg"
