"fleet_segment";"Month";"VESSELS";"DAYS";"GT"
"DTS_VL1218";"110";"138.29";"9";"19.82"
"DTS_VL1218";"111";"138.29";"12";"19.82"
"DTS_VL1218";"112";"138.29";"13";"19.82"
"DTS_VL1218";"113";"138.29";"14";"19.82"
"DTS_VL1218";"114";"138.29";"14";"19.82"
"DTS_VL1218";"115";"138.29";"18";"19.82"
"DTS_VL1218";"116";"138.29";"13";"19.82"
"DTS_VL1218";"117";"138.29";"8";"19.82"
"DTS_VL1218";"118";"138.29";"4";"19.82"
"DTS_VL1218";"119";"138.29";"12";"19.82"
"DTS_VL1218";"120";"138.29";"16";"19.82"
"DTS_VL1218";"121";"144";"10";"19.32"
"DTS_VL1218";"122";"144";"10";"19.32"
"DTS_VL1218";"123";"144";"13";"19.32"
"DTS_VL1218";"124";"144";"13";"19.32"
"DTS_VL1218";"125";"144";"16";"19.32"
"DTS_VL1218";"126";"144";"15";"19.32"
"DTS_VL1218";"127";"144";"15";"19.32"
"DTS_VL1218";"128";"144";"16";"19.32"
"DTS_VL1218";"129";"144";"7";"19.32"
"DTS_VL1218";"130";"144";"8";"19.32"
"DTS_VL1218";"131";"144";"10";"19.32"
"DTS_VL1218";"132";"144";"13";"19.32"
"DTS_VL1218";"133";"144";"10";"19.32"
"DTS_VL1218";"134";"144";"10";"19.32"
"DTS_VL1218";"135";"144";"13";"19.32"
"DTS_VL1218";"136";"144";"13";"19.32"
"DTS_VL1218";"137";"144";"16";"19.32"
"DTS_VL1218";"138";"144";"15";"19.32"
"DTS_VL1218";"139";"144";"15";"19.32"
"DTS_VL1218";"140";"144";"16";"19.32"
"DTS_VL1218";"141";"144";"7";"19.32"
"DTS_VL1218";"142";"144";"8";"19.32"
"DTS_VL1218";"143";"144";"10";"19.32"
"DTS_VL1218";"144";"144";"13";"19.32"
"DTS_VL1218";"145";"144";"10";"19.32"
"DTS_VL1218";"146";"144";"10";"19.32"
"DTS_VL1218";"147";"144";"13";"19.32"
"DTS_VL1218";"148";"144";"13";"19.32"
"DTS_VL1218";"149";"144";"16";"19.32"
"DTS_VL1218";"150";"144";"15";"19.32"
"DTS_VL1218";"151";"144";"15";"19.32"
"DTS_VL1218";"152";"144";"16";"19.32"
"DTS_VL1218";"153";"144";"7";"19.32"
"DTS_VL1218";"154";"144";"8";"19.32"
"DTS_VL1218";"155";"144";"10";"19.32"
"DTS_VL1218";"156";"144";"13";"19.32"
"DTS_VL1824";"0";"69";"15";"57.52702703"
"DTS_VL1824";"1";"69";"15";"57.52702703"
"DTS_VL1824";"2";"69";"16";"57.52702703"
"DTS_VL1824";"3";"69";"14";"57.52702703"
"DTS_VL1824";"4";"69";"14";"57.52702703"
"DTS_VL1824";"5";"69";"15";"57.52702703"
"DTS_VL1824";"6";"69";"13";"57.52702703"
"DTS_VL1824";"7";"69";"18";"57.52702703"
"DTS_VL1824";"8";"69";"17";"57.52702703"
"DTS_VL1824";"9";"69";"1";"57.52702703"
"DTS_VL1824";"10";"69";"11";"57.52702703"
"DTS_VL1824";"11";"69";"14";"57.52702703"
"DTS_VL1824";"12";"69";"14";"57.52702703"
"DTS_VL1824";"13";"69";"15";"57.52702703"
"DTS_VL1824";"14";"69";"16";"57.52702703"
"DTS_VL1824";"15";"69";"14";"57.52702703"
"DTS_VL1824";"16";"69";"14";"57.52702703"
"DTS_VL1824";"17";"69";"15";"57.52702703"
"DTS_VL1824";"18";"69";"13";"57.52702703"
"DTS_VL1824";"19";"69";"18";"57.52702703"
"DTS_VL1824";"20";"69";"17";"57.52702703"
"DTS_VL1824";"21";"69";"1";"57.52702703"
"DTS_VL1824";"22";"69";"11";"57.52702703"
"DTS_VL1824";"23";"69";"14";"57.52702703"
"DTS_VL1824";"24";"69";"14";"57.52702703"
"DTS_VL1824";"25";"69";"15";"57.52702703"
"DTS_VL1824";"26";"69";"16";"57.52702703"
"DTS_VL1824";"27";"69";"14";"57.52702703"
"DTS_VL1824";"28";"69";"14";"57.52702703"
"DTS_VL1824";"29";"69";"15";"57.52702703"
"DTS_VL1824";"30";"69";"13";"57.52702703"
"DTS_VL1824";"31";"69";"18";"57.52702703"
"DTS_VL1824";"32";"69";"17";"57.52702703"
"DTS_VL1824";"33";"69";"1";"57.52702703"
"DTS_VL1824";"34";"69";"11";"57.52702703"
"DTS_VL1824";"35";"69";"14";"57.52702703"
"DTS_VL1824";"36";"69";"14";"57.52702703"
"DTS_VL1824";"37";"75";"9";"58.2875"
"DTS_VL1824";"38";"75";"11";"58.2875"
